Banco;Código;ISPB;Nome Completo
CODEPE CVC S.A.;127;9512542;Codepe Corretora de Valores e Câmbio S.A.
MS BANK S.A. BCO DE CÂMBIO;128;19307785;MS Bank S.A. Banco de Câmbio
UBS BRASIL BI S.A.;129;18520834;UBS Brasil Banco de Investimento S.A.
CARUANA SCFI;130;9313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO
TULLETT PREBON BRASIL CVC LTDA;131;61747085;TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA
ICBC DO BRASIL BM S.A.;132;17453575;ICBC do Brasil Banco Múltiplo S.A.
CRESOL CONFEDERAÇÃO;133;10398952;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E
BGC LIQUIDEZ DTVM LTDA;134;33862244;BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
CONF NAC COOP CENTRAIS UNICRED;136;315557;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI
GET MONEY CC LTDA;138;10853017;Get Money Corretora de Câmbio S.A.
INTESA SANPAOLO BRASIL S.A. BM;139;55230916;Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
NU INVEST CORRETORA DE VALORES S.A.;140;62169875;NU INVEST CORRETORA DE VALORES S.A.
BROKER BRASIL CC LTDA.;142;16944141;Broker Brasil Corretora de Câmbio Ltda.
TREVISO CC S.A.;143;2992317;Treviso Corretora de Câmbio S.A.
BEXS BCO DE CAMBIO S.A.;144;13059145;BEXS BANCO DE CÂMBIO S/A
LEVYCAM CCV LTDA;145;50579044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.
GUITTA CC LTDA;146;24074692;GUITTA CORRETORA DE CAMBIO LTDA.
FACTA S.A. CFI;149;15581638;Facta Financeira S.A. - Crédito Financiamento e Investimento
