Banco;Código;ISPB;Nome Completo
BCO CREDIT SUISSE S.A.;505;32062580;Banco Credit Suisse (Brasil) S.A.
SENSO CCVM S.A.;545;17352220;SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A
BCO LUSO BRASILEIRO S.A.;600;59118133;Banco Luso Brasileiro S.A.
BCO INDUSTRIAL DO BRASIL S.A.;604;31895683;Banco Industrial do Brasil S.A.
BCO VR S.A.;610;78626983;Banco VR S.A.
BCO PAULISTA S.A.;611;61820817;Banco Paulista S.A.
BCO GUANABARA S.A.;612;31880826;Banco Guanabara S.A.
OMNI BANCO S.A.;613;60850229;Omni Banco S.A.
BANCO PAN;623;59285411;Banco Pan S.A.
BCO C6 CONSIG;626;61348538;BANCO C6 CONSIGNADO S.A.
BCO LETSBANK S.A.;630;58497702;BANCO LETSBANK S.A.
BCO RENDIMENTO S.A.;633;68900810;Banco Rendimento S.A.
BCO TRIANGULO S.A.;634;17351180;BANCO TRIANGULO S.A.
BCO SOFISA S.A.;637;60889128;BANCO SOFISA S.A.
BCO PINE S.A.;643;62144175;Banco Pine S.A.
ITAÚ UNIBANCO HOLDING S.A.;652;60872504;Itaú Unibanco Holding S.A.
BANCO VOITER;653;61024352;BANCO VOITER S.A.
BCO DIGIMAIS S.A.;654;92874270;BANCO DIGIMAIS S.A.
BCO VOTORANTIM S.A.;655;59588111;Banco Votorantim S.A.
BCO CREFISA S.A.;69;61033106;Banco Crefisa S.A.
BCO DAYCOVAL S.A;707;62232889;Banco Daycoval S.A.
BCO OURINVEST S.A.;712;78632767;Banco Ourinvest S.A.
BCO RNX S.A.;720;80271455;BANCO RNX S.A.
BCO CETELEM S.A.;739;558456;Banco Cetelem S.A.
BCO RIBEIRAO PRETO S.A.;741;517645;BANCO RIBEIRAO PRETO S.A.
BANCO SEMEAR;743;795423;Banco Semear S.A.
BCO CITIBANK S.A.;745;33479023;Banco Citibank S.A.
BCO MODAL S.A.;746;30723886;Banco Modal S.A.
BCO RABOBANK INTL BRASIL S.A.;747;1023570;Banco Rabobank International Brasil S.A.
BCO COOPERATIVO SICREDI S.A.;748;1181521;BANCO COOPERATIVO SICREDI S.A.
SCOTIABANK BRASIL;751;29030467;Scotiabank Brasil S.A. Banco Múltiplo
BCO BNP PARIBAS BRASIL S A;752;1522368;Banco BNP Paribas Brasil S.A.
NOVO BCO CONTINENTAL S.A. - BM;753;74828799;Novo Banco Continental S.A. - Banco Múltiplo
BANCO SISTEMA;754;76543115;Banco Sistema S.A.
BOFA MERRILL LYNCH BM S.A.;755;62073200;Bank of America Merrill Lynch Banco Múltiplo S.A.
BANCO SICOOB S.A.;756;2038232;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB
BCO KEB HANA DO BRASIL S.A.;757;2318507;BANCO KEB HANA DO BRASIL S.A.
Selic;n/a;38121;Banco Central do Brasil - Selic
Bacen;n/a;38166;Banco Central do Brasil
STN;n/a;394460;Secretaria do Tesouro Nacional - STN
CIP Siloc;n/a;2992335;Câmara Interbancária de Pagamentos - CIP - LDL
CAMARA INTERBANCARIA DE PAGAMENTOS - CIP;n/a;4391007;Câmara Interbancária de Pagamentos
Balcão B3;n/a;28719664;Sistema do Balcão B3
CIP C3;n/a;29011780;Câmara Interbancária de Pagamentos - CIP C3
Câmara B3;n/a;54641030;Câmara B3
Câmbio B3;n/a;60934221;Câmara de Câmbio B3


Consultar os codigos dos bancos
https://brasilapi.com.br/api/banks/v1
